Step	Time_elapsed
1	0.0
2	1582646644.841456
3	648.3832955360413
4	737.6397104263306
5	896.4903814792633
6	583.1144645214081
7	544.839861869812
8	580.7001218795776
9	607.267011642456
10	640.6510016918182
11	794.0661509037018
12	815.2457611560822
13	366.47174859046936
14	1021.2194821834564
15	920.271183013916
16	729.7009682655334
17	480.05218052864075
18	492.29002833366394
19	567.6495668888092
20	594.8467316627502
21	631.4481909275055
22	277.6915695667267
23	335.2491810321808
24	870.4757807254791
25	784.7667968273163
26	748.1392934322357
27	575.2447516918182
28	534.654863357544
29	701.7490794658661
30	405.26143193244934
31	417.3333730697632
32	802.2114567756653
33	626.0073323249817
34	559.873010635376
35	552.8995137214661
36	500.28680062294006
37	884.094119310379
38	698.8654990196228
39	6023.590829849243
40	795.3980965614319
41	571.3178102970123
42	755.4326164722443
43	243.72831988334656
44	836.6449987888336
45	849.9689137935638
46	436.7670359611511
47	707.721583366394
48	917.383260011673
49	1510.1680998802185
50	794.1736164093018
51	499.9204828739166
52	1312.0279953479767
53	795.8077702522278
54	1797.216917514801
55	736.5011479854584
56	460.39071345329285
57	773.7320957183838
58	417.2250781059265
59	854.7481994628906
60	422.6416325569153
61	545.1085817813873
62	536.9825248718262
63	714.1642174720764
64	747.2453203201294
65	725.8371922969818
66	564.8325090408325
67	595.6940622329712
68	395.65856981277466
69	752.421365737915
70	680.8426842689514
71	605.4221096038818
72	601.1195733547211
73	785.7065477371216
74	1045.8642642498016
75	1083.8355343341827
76	247.5416874885559
77	629.3355264663696
78	786.6994936466217
79	648.9710745811462
80	581.4940309524536
81	1144.5145964622498
82	517.699417591095
83	703.9160845279694
84	374.4543676376343
85	414.6581394672394
86	479.4797294139862
87	632.6062912940979
88	593.4599831104279
89	853.5102984905243
90	543.6668574810028
91	580.2851021289825
92	731.1948125362396
93	328.17363715171814
94	587.6555132865906
95	1320.7939026355743
96	598.6474769115448
97	755.7074551582336
98	538.2877707481384
99	747.2905919551849
100	633.3805091381073
101	709.8877296447754
102	987.5654881000519
103	573.5387365818024
104	1057.5057654380798
105	461.81511068344116
106	1452.3981664180756
107	468.4092833995819
108	847.2622675895691
