Iteration_step	Porb	eccentricity	Wdisk	logQ	primary_mass	age	feh	secondary_mass	posterior_probability	acceptance_ratio	inital_orbital_period	initial_eccentricity	current_orbital_period	current_eccentricity	current_spin	delta_e	delta_p	bad_solution_flag	gsl_flag	
1	11.703	0.302	4.1	8.571523819048572	0.992508658297196	1.9739327434083016	-0.2090924064798522	0.7145069831081514	14.765373089911519	0.0	11.706360765130551	0.3021454441726482	11.702999999983922	0.30199999999912525	14.864765956540364	-1.6077805753411667e-11	-8.747447211021608e-13	False	False
7	11.702980624178881	0.30255591842329715	3.611930482945753	7.953014528357997	0.9583790601745583	2.5888736300616078	-0.13082204303781902	0.6899370854196645	7.804389814472143	0.5285602854021015	11.72497977744562	0.3033860488221378	11.702980623723672	0.30255591841178203	11.8073879365789	-4.552092036647082e-10	-1.1515122189109661e-11	False	False
8	11.703031642551359	0.30008457060574206	2.0930328338808986	7.733103230127133	1.0502553622820192	2.8724277991528258	0.008219231537481886	0.7560788353068256	1.3272632209261355	0.17006623867825163	11.746081984724743	0.3023646667109271	11.703031642016333	0.3000845705776163	11.536664389578434	-5.350262455294796e-10	-2.8125779483190172e-11	False	False
9	11.703019446127646	0.2998435259356329	1.6945841143975033	7.960154597771567	1.0144056838759357	2.7270827050742277	-0.015180046922633472	0.7302706518222861	0.9988063502669635	0.7525307222556941	11.728875759458433	0.30092763038846054	11.703019542026407	0.2998435255754604	11.70301954202641	9.589876093230032e-08	-3.601725029334091e-10	False	False
10	11.70298692089887	0.301996788574568	0.9979717104162058	8.191550103511336	1.1767401305923797	1.6740454703567245	0.015628332525907215	0.8471352200134541	6.473028750035213	6.480764512865868	11.70960478992202	0.3025298390145055	11.70298692022316	0.3019967885459245	10.853009014819513	-6.757101544963007e-10	-2.8643531990724114e-11	False	False
11	11.703001732554538	0.301152492013999	1.371531636536682	8.327288830117999	1.0144056838759357	2.7270827050742277	-0.015180046922633472	0.7302706518222861	13.238348070794022	2.045155147923915	11.71565226364408	0.3016228323754419	11.703001732555835	0.30115249201709854	13.889868110471811	1.2967404927621828e-12	3.099520640148512e-12	False	False
18	11.703022372231562	0.30184235450932345	1.928189634185693	8.497643801526046	1.0025707873774405	2.4262284882807865	-0.18639160646363062	0.7217507098330195	13.110759882312976	0.9903622273867745	11.709851677780645	0.30210567462418325	11.70302237226836	0.3018423545110096	15.095673844552067	3.679900828501559e-11	1.6861512186494565e-12	False	False
20	11.7030196989491	0.3008077138266087	1.7096481079967014	7.836495391707421	1.0532608115848634	2.2666135886949412	-0.08850331102470675	0.7582424582599432	4.0689579192385565	0.31035256199968775	11.726984922487132	0.30214137642992933	11.703019698728513	0.30080771381804894	11.703019698728516	-2.205879923167231e-10	-8.559764008708726e-12	False	False
21	11.703060346904513	0.30124887922258875	0.8722299796213014	8.486108367447619	1.0408268916963581	2.852067299177679	-0.02146997602277051	0.7492912793322082	3.970991570810873	0.9759234795807334	11.71399880918569	0.3016521149406381	11.703060347223971	0.30124887923092514	14.549377637140626	3.1945823764090164e-10	8.336387136154144e-12	False	False
24	11.703007326765073	0.30152709976438596	1.2032669778372782	8.326950280329907	0.9621771871800958	4.950659208960774	-0.007188486670873462	0.692671357050951	41.056240199072796	10.339039876302015	11.728597696168821	0.3023842823596047	11.703007327111457	0.30152709977425757	14.912008481386845	3.4638425461253064e-10	9.87160353460581e-12	False	False
31	11.70298710728894	0.30104326604825177	0.9345899031926075	8.339488607195248	0.9944707877145365	5.005944706934819	-0.13376525069743928	0.7159195200756948	20.227471078740226	0.49267714190733514	11.734878017831374	0.30211021384456305	11.70298710720886	0.3010432660464156	13.120040751566197	-8.007994267700269e-11	-1.836142349276315e-12	False	False
36	11.703021818360284	0.3016340582434467	1.6978990097512807	8.485094799975075	0.9705012231391177	5.697723745891581	-0.3031678474983381	0.6986638305378509	38.53799675679693	1.9052305949062363	11.730079708151145	0.30252373896008367	11.703021818318803	0.3016340582446919	14.151316962124765	-4.148148491367465e-11	1.2452261444195756e-12	False	False
39	11.703018158901411	0.30237282637471186	1.4149710624923348	8.088086171362756	0.8978088702410634	5.565674238655993	-0.3615649151781378	0.6463326056865415	33.98238864118547	0.8817891821320997	11.74748693787492	0.3038354293101176	11.703018158881152	0.3023728263739521	13.085139795145547	-2.0259349753359857e-11	-7.597811269022259e-13	False	False
40	11.702998756510658	0.3031753741317023	1.8721272101760065	8.655638029775403	0.9382893953907689	5.75661751150323	-0.18605672331867465	0.6754745357418146	9.955670697045736	0.29296559468394195	11.717635383479912	0.3036549891396782	11.7029987565151	0.30317537413181755	18.970424606659353	4.4426684553400264e-12	1.1524114995609125e-13	False	False
42	11.703002440824461	0.30266637397227597	2.2587898732486154	8.267631353261471	0.8607467960749943	5.539853138313485	-0.5952118551150478	0.6196516184943883	47.049447265569626	4.725894286512627	11.727937317864257	0.303481300336729	11.703002440803415	0.30266637397131413	16.259183074282966	-2.1046275833214168e-11	-9.618417173840044e-13	False	False
46	11.702991279504385	0.3015337932280229	2.3679192666766307	8.650452854646401	0.8662957078626666	5.653347854176665	-0.6516118188627273	0.6236462800903337	6.342924618074345	0.13481400923313377	11.713912811069834	0.301890311079603	11.702991279466012	0.30153379322758855	21.30203574457624	-3.837286044472421e-11	-4.3431924723336124e-13	False	False
47	11.702988059934999	0.3022187514514192	2.317572766252589	8.680497967834885	0.9095915448540555	4.860180136703259	-0.48449196251857696	0.6548149531404345	7.4604306945269006	1.1761815162154363	11.712992455568862	0.30255028107320486	11.702988059934498	0.3022187514514357	20.166291343716022	-5.009326287108706e-13	1.6486811915683575e-14	False	False
48	11.70298526484107	0.3037052701749295	2.297176643771679	8.408656912115182	0.837752721702363	5.01779246774265	-0.7505130466678531	0.6030981843535311	4.881206486784728	0.6542794493574834	11.716817955093974	0.3041594694090634	11.70298526481949	0.3037052701740841	19.69592524310921	-2.1579182885034243e-11	-8.453793221008254e-13	False	False
51	11.70300623148974	0.30295150203664756	3.1812733870338272	7.771615566387838	0.8610663936708254	4.178232674881648	-0.3598054581287399	0.6198816968036271	11.368777466338706	2.3290916901627265	11.75347905778685	0.3046521893509378	11.703006231508866	0.3029515020381969	11.937646654301549	1.9126034089822497e-11	1.549316230864406e-12	False	False
56	11.703014535886762	0.30264174388014914	2.455738096937151	7.456339166930674	0.9262842814507103	4.187688057714404	-0.3510127574227614	0.6668320542163664	9.280620571499014	0.8163252908219534	11.80601079991744	0.3075724744653342	11.70301453564338	0.30264174387215426	10.922962776751303	-2.433822032799071e-10	-7.994882533779446e-12	False	False
59	11.703047523743145	0.302366943620463	2.562314300611577	8.058395857417535	0.9348147902048372	4.0714183290963595	-0.21182193123946416	0.6729731674684623	8.274557911670902	0.8915953246792836	11.736612011770745	0.30351165933774094	11.703047523750355	0.3023669436208537	12.700795155471246	7.210232411125617e-12	3.906874823655926e-13	False	False
60	11.70301169584975	0.30139390213131334	1.7388985651635982	8.301333424532316	0.9810908632749414	3.1682098501940965	-0.11129193687484236	0.7062873124716303	15.954307428783268	1.9281159911009162	11.71846813072208	0.3019445304877817	11.70301169534271	0.30139390211685096	14.34687432530226	-5.070397435247287e-10	-1.4462375741430833e-11	False	False
68	11.703001624748248	0.3019547694500658	2.239780198385267	8.237405239070009	0.9975380414006683	4.15660611774365	-0.0683387198487881	0.718127636004341	24.35534452774557	1.526568585722871	11.73162709511514	0.3029384250362638	11.703001624680414	0.3019547694468385	12.8170385020941	-6.783373862617736e-11	-3.2272517991316363e-12	False	False
69	11.702991790737201	0.30260115028627194	2.3731442923606028	8.536287115153463	0.9394033809879812	3.830116551984938	-0.2448490281119874	0.6762764939732476	10.961359550420095	0.45005972048282594	11.71352648492714	0.30296095518681154	11.702991790870053	0.30260115029235657	17.94712049889766	1.3285195166190533e-10	6.084632797609402e-12	False	False
73	11.703061798903487	0.30302248375655516	2.2718042257633795	8.599752732782179	0.9474157429782982	3.800352188875496	-0.20655996369853136	0.6820445933700768	1.580587938415859	0.144196340895987	11.7123262285197	0.3033393977863039	11.703061798905559	0.3030224837564194	18.452255072628684	2.071232074740692e-12	-1.3578027591165664e-13	False	False
74	11.703074010189397	0.30123237123025454	2.5390895149046906	8.740958294261214	1.0635368473666282	3.567792674108336	0.04025149879498725	0.7656401764192357	2.452993923202668	1.5519502987357832	11.711706350796469	0.30154064471837966	11.70307401020595	0.3012323712309483	16.391679482318956	1.6553869386370934e-11	6.937783680882603e-13	False	False
76	11.703062040510941	0.30267561003071036	1.4380884349579202	9.29888683631295	1.0282207355607085	1.8636934859800736	-0.10983481924390716	0.740216107530154	2.5357173520585214	1.0337234544583986	11.703775496751092	0.30270647696153463	11.703062040516182	0.3026756100308357	16.068553600722915	5.240252676230739e-12	1.2534417948018017e-13	False	False
77	11.70307079869555	0.3030340708801576	1.4752709946212534	9.405124648003504	1.039400788003193	1.7144203010383308	-0.08210589487952974	0.7482646272834986	1.30950939185829	0.5164256145485683	11.703537685285525	0.3030557625984244	11.70307079869295	0.30303407087962697	15.242909814402228	-2.5988100560425664e-12	-5.306310946195936e-13	False	False
78	11.703020666922816	0.3026870758223546	1.5157686413466762	8.455655924142208	0.9870271817080539	3.3390936962081255	-0.16155969848097249	0.710560868111628	13.528960953977856	10.331320292998637	11.715523325841138	0.3031274198632276	11.70302066692126	0.30268707582248333	15.539940421736194	-1.5560885913146194e-12	1.287303597052869e-13	False	False
