Iteration_step	Porb	eccentricity	Wdisk	logQ	primary_mass	age	feh	secondary_mass	posterior_probability	acceptance_ratio	inital_orbital_period	initial_eccentricity	current_orbital_period	current_eccentricity	current_spin	delta_e	delta_p	bad_solution_flag	gsl_flag	
1	9.992	0.283	4.1	8.466980031336467	0.9850069777635193	6.025987613620758	-0.12042660339857186	0.5670685170984581	77.96066597051079	0.0	10.02859599684305	0.2843901625531185	9.991999999664193	0.2829999999901249	12.796714548179745	-3.3580782599074155e-10	-9.87510073713338e-12	False	False
24	9.991995656361537	0.28228381947081177	4.326410612175871	9.10931750186851	1.1577187155829574	6.180232261015742	0.05975277431001308	0.6664986645611085	59.402136194290115	0.7619500866855015	10.017761055349341	0.2832634765370147	9.991995656395387	0.2822838194739368	14.417213515005654	3.385025593161117e-11	3.1250557697148906e-12	False	False
55	9.99197727423272	0.2832695898835763	3.9781660447913314	8.410702777485763	0.9469958816557937	6.7753187197959255	-0.12115273512250015	0.5451855290692404	86.39800154185562	1.4544595039354902	10.032025168990232	0.2847789850109576	9.991977274216923	0.28326958988287143	13.35525133629719	-1.5797141372786427e-11	-7.048805983345119e-13	False	False
115	9.992071520233939	0.2838678008294809	2.8711108973915236	8.39676097389512	0.9130094345986131	9.079636571629194	-0.15966266225509831	0.5256195314984216	17.51683502678728	0.20274583571590168	10.049203680342417	0.28599067576131554	9.992071520221787	0.28386780083030194	12.885801224579708	-1.2152057138337113e-11	8.210654378615345e-13	False	False	False
123	9.992015922619919	0.2856571434892621	2.601924989527387	8.468236652926118	0.932450678479295	7.855348459826568	-0.09766875675826991	0.5368118556005301	16.267567350058062	0.9286818837524702	10.033122111136088	0.2871957300678407	9.992015922607754	0.2856571434905598	14.036360962581579	-1.2164491636212915e-11	1.2977396934843455e-12	False	False	False
127	9.992063385671285	0.2845709420694182	1.911829543723388	8.329379394302643	0.9115618480086596	6.007057244460002	-0.16948205802373642	0.5247861558985853	16.985424749527525	1.0441281344667002	10.026325659871155	0.2858680358469303	9.992063385692022	0.28457094207111777	14.278324708194008	2.0737189743158524e-11	1.6995849172474209e-12	False	False	False
141	9.992013536096383	0.2833575268497797	0.866738145241752	8.004868434295037	0.9236772753899491	2.4556165632694844	-0.27398545017378806	0.5317610074419937	157.1105963223311	9.24973020334398	10.014937500272374	0.28431785686465755	9.99201353640237	0.28335752686013804	11.912796788534985	3.0598634737089014e-10	1.035832530860148e-11	False	False	False
148	9.99202159151825	0.28313715699392333	1.5955310454189875	8.074190258463005	0.8250957697104881	5.51105285147685	-0.5119473235887008	0.47500763462232803	951.6924175911405	6.057468050332074	10.030022695012109	0.2845740750653822	9.992021591623516	0.28313715699791614	14.325545355188048	1.0526512994601944e-10	3.992806085761913e-12	False	False	False
181	9.992039379896868	0.28356981531143105	1.2008100512141948	7.940761327166082	0.8108371571327401	8.25690098638216	-0.42863841143207615	0.46679895136131844	269.3724975753147	0.2830457536449982	10.075768134233947	0.2866832319278703	9.99203938014957	0.28356981532107683	12.420495996775111	2.5270274761624023e-10	9.645784171397054e-12	False	False	False
183	9.992052046196354	0.28171065141771445	1.4971965668543605	8.30581249981846	0.8942128448591327	7.396863575421144	-0.20061816008950692	0.5147983347854027	80.21347590566855	0.29777901095207915	10.03698872699768	0.2833919015368006	9.992052045959435	0.281710651408838	13.865048738569657	-2.36919817098169e-10	-8.876455126483052e-12	False	False	False
190	9.99196986648289	0.2807912349118212	1.190290803226942	7.94899762898869	0.835333781578398	7.990605010294965	-0.38898435455366714	0.4809016580546837	5.68657221472324	0.07089297839942353	10.079783298863575	0.284057140831913	9.991969866394598	0.28079123490758956	11.741424217229024	-8.829204034555005e-11	-4.231615058358784e-12	False	False	False
191	9.992039237893648	0.2802536797711524	1.271505397744821	7.977454044098212	0.8361218422797941	7.032230627330381	-0.3440832492080904	0.48135534460047746	8.374239109665425	1.4726339160845408	10.059099550807604	0.28276171345310824	9.99203923762306	0.28025367976011045	12.577363651032236	-2.7058888463216135e-10	-1.104194513601442e-11	False	False	False
201	9.992011113878856	0.28063038879274993	1.2170143785092682	8.033736840850084	0.8612095426968555	8.76411624609991	-0.21504552054130177	0.4957983337305797	7.448213459782263	0.8894197266454505	10.08162245832155	0.2839572052600879	9.992011113870747	0.2806303887923623	11.755375897394686	-8.109068971862143e-12	-3.876343690478734e-13	False	False	False
207	9.992072377072631	0.28088509537544976	0.5594311553213654	8.03984392344318	0.8431516255029228	5.592406647688249	-0.4314582998034198	0.4854023908020326	11.199949823224522	1.503709565213231	10.03890916912956	0.28265850292343886	9.992072376856543	0.2808850953683106	13.369077297978711	-2.1608848044252227e-10	-7.139178137549607e-12	False	False	False
208	9.991994029229804	0.2809260920274633	1.3008655154893116	8.033931978182236	0.92723843756724	2.411391891372123	-0.21794162023394192	0.53381116850746	37.95422927075878	3.388785652597823	10.011450046407905	0.2817452828296363	9.991994029512856	0.28092609204014896	12.19847897233514	2.830518042173935e-10	1.2685630323971964e-11	False	False	False
220	9.992015084883322	0.28304927210546105	1.148576276206847	8.493916146064237	0.9967282612818381	6.207930736130961	-0.07044898548163042	0.5738164600199542	379.9749885056301	10.011400463304248	10.03040954019112	0.28450297789358214	9.992015084891769	0.28304927210633435	12.73516811597202	8.446576771348191e-12	8.733014311701481e-13	False	False	False
225	9.991984258415146	0.28273597599938033	2.4615688041982984	8.343000712701372	0.9469958816557937	6.7753187197959255	-0.12115273512250015	0.5451855290692404	268.9554264501749	0.7078240268074639	10.038958356948479	0.2845039250434672	9.991984258235515	0.28273597599440725	12.64511346819985	-1.7963053267067153e-10	-4.973077505354695e-12	False	False	False
227	9.99198353465246	0.2832640477486348	3.3374664970164503	8.367633347215985	0.9218612051225761	7.747598084376206	-0.23540747688951127	0.5307154957890671	273.1912881979285	1.0157493076219388	10.04393863665784	0.2852048584185078	9.991983534556166	0.2832640477455966	12.6146436209848	-9.629452790704818e-11	-3.038180818037972e-12	False	False	False
231	9.991999121649707	0.28433390111315676	1.2636345364992363	7.989384839425143	0.8471873613843425	5.46737727096095	-0.5023825710265462	0.48772576394896594	306.9600430736153	1.1236084616696165	10.044197239045069	0.28631147965720305	9.991999121657075	0.28433390111286827	12.549848276013714	7.368328169832239e-12	-2.8849145294884693e-13	False	False	False
239	9.992076537404015	0.28305874224160577	1.010110693222763	7.758329472836211	0.7877299303725833	3.52001885805252	-0.6485910751386108	0.4534961209154962	184.32888382105554	0.6004979735321764	10.02886479337444	0.28449516226208615	9.992076537923156	0.28305874225723165	13.005091420372178	5.191402863147232e-10	1.5625889471237997e-11	False	False	False
254	9.991994593576603	0.2832942789561469	0.4540886813466172	8.289945606746041	0.8690877520995824	5.948617699426832	-0.4307622058655221	0.5003338188837296	543.7421559474701	2.949847819158548	10.026106548540739	0.28457944378472894	9.99199459363742	0.28329427895882103	14.793953781721537	6.081712911054638e-11	2.6741386882633833e-12	False	False	False
278	9.992018283721915	0.28267508144472864	1.3318887688251628	8.372832766997247	0.9300159917069311	6.758268894677179	-0.32370543909538124	0.5354102064256802	285.4390672402711	0.5249529839063035	10.038285097177155	0.2844113563576372	9.99201828392677	0.28267508145170456	12.505022792223592	2.0485479979015508e-10	6.975919841778477e-12	False	False	False
300	9.992029131401294	0.2840325214166356	1.3814125305674354	8.31363676897885	0.9112010947186283	5.830275645844455	-0.3226468255193588	0.5245784702295143	297.9505887120305	1.043832547495076	10.028945737289916	0.28542992674320494	9.992029131131671	0.2840325214082116	13.572393943169907	-2.696225465115276e-10	-8.423983732797069e-12	False	False	False
306	9.992034271972141	0.2855625894414797	1.3956363179147122	8.168458497207505	0.9171638406850646	3.0585618496364164	-0.2231548551491696	0.5280112230823917	25.50126620530005	0.08558891028051314	10.012173299117245	0.2863727037838521	9.99203427198334	0.28556258944158786	13.513095353715338	1.1198153515579179e-11	1.0813572259849025e-13	False	False	False
309	9.992029265953299	0.2851128418545714	1.0546476102120468	8.384715274563593	0.9348530491687848	5.592093384869346	-0.22736260334160047	0.5381949004064693	50.097405933537345	1.9645066064651082	10.024656546473652	0.286354318359025	9.99202926591357	0.28511284185188407	13.886180714073875	-3.97282207131866e-11	-2.6873503422564227e-12	False	False	False
313	9.992027081915788	0.2827599667446952	2.669302845367142	8.613015635433806	0.9935209365837436	7.65495977478425	-0.01602792139171691	0.5719700031912612	412.9116516269182	8.242176295010466	10.03069414527044	0.28420863670086194	9.992027081893022	0.28275996674400306	13.389560202970888	-2.276578925375361e-11	-6.921685447025538e-13	False	False	False
315	9.992042375448893	0.28253985278406235	2.8520807910651826	8.51188161160021	0.9730928925236313	6.304246063070667	-0.10734240113043919	0.5602095782258545	183.01487407894138	0.44323010348059266	10.024858378001241	0.28378133189114546	9.992042375440196	0.28253985278472915	13.710622205670468	-8.697043085703626e-12	6.66799948589869e-13	False	False	False
316	9.99197541006063	0.28193453128279855	2.687539053400753	8.477826987800764	1.0151450474016057	6.895916261474035	0.12347873918878974	0.5844190037891044	223.82811486918305	1.2230050480631283	10.034384186901033	0.2835377365121993	9.991975410290973	0.281934531291102	12.679895394134784	2.3034196772186988e-10	8.303469023474008e-12	False	False	False
330	9.992030934521175	0.28268423376232066	3.1988544355278385	8.557403994710127	0.9929545140360285	7.360221611878163	0.035212311272863395	0.5716439137305416	450.3680478345585	2.0121156276447993	10.030122583496794	0.28411661061844706	9.992030934516807	0.2826842337627414	13.496896249035316	-4.368061468085216e-12	4.2071901518170307e-13	False	False	False
